graph_id,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,preferred_color_template,is_tree,edge_count
G01,high,A0,0.0,0.001635,0.10895,0.889415,0.35625,0.0,0.0,0-0-0-1,True,4
G01,high,A1,0.25,0.001635,0.10895,0.889415,0.35625,0.0,0.0,0-0-0-1,True,4
G01,high,A2,0.5,0.001635,0.10895,0.889415,0.35625,0.0,0.0,0-0-0-1,True,4
G01,high,A3,0.75,0.001635,0.10895,0.889415,0.35625,0.0,0.0,0-0-0-1,True,4
G01,high,A4,1.0,0.001635,0.10895,0.889415,0.35625,0.0,0.0,0-0-0-1,True,4
G01,medium,A0,0.0,0.081296,0.310852,0.607852,0.869839,0.0,0.0,0-0-0-1,True,4
G01,medium,A1,0.25,0.081296,0.310852,0.607852,0.869839,0.0,0.0,0-0-0-1,True,4
G01,medium,A2,0.5,0.081296,0.310852,0.607852,0.869839,0.0,0.0,0-0-0-1,True,4
G01,medium,A3,0.75,0.081296,0.310852,0.607852,0.869839,0.0,0.0,0-0-0-1,True,4
G01,medium,A4,1.0,0.081296,0.310852,0.607852,0.869839,0.0,0.0,0-0-0-1,True,4
G01,low,A0,0.0,0.255302,0.344506,0.400192,1.082187,0.0,0.0,0-0-0-1,True,4
G01,low,A1,0.25,0.255302,0.344506,0.400192,1.082187,0.0,0.0,0-0-0-1,True,4
G01,low,A2,0.5,0.255302,0.344506,0.400192,1.082187,0.0,0.0,0-0-0-1,True,4
G01,low,A3,0.75,0.255302,0.344506,0.400192,1.082187,0.0,0.0,0-0-0-1,True,4
G01,low,A4,1.0,0.255302,0.344506,0.400192,1.082187,0.0,0.0,0-0-0-1,True,4
G02,high,A0,0.0,0.057714,0.471143,0.471143,0.873772,0.0,0.123525,0-0-1-2,False,5
G02,high,A1,0.25,0.096621,0.451689,0.451689,0.94377,0.011697,0.070732,0-0-1-2,False,5
G02,high,A2,0.5,0.154218,0.422891,0.422891,1.016208,0.060193,0.023761,0-0-1-2,False,5
G02,high,A3,0.75,0.209041,0.39548,0.39548,1.060934,0.130576,0.003276,0-0-1-2,False,5
G02,high,A4,1.0,0.243181,0.37841,0.37841,1.079306,0.183887,0.0,0-0-1-2,False,5
G02,medium,A0,0.0,0.20363,0.398185,0.398185,1.057395,0.0,0.008256,0-0-1-2,False,5
G02,medium,A1,0.25,0.22733,0.386335,0.386335,1.071604,0.001685,0.0026,0-0-1-2,False,5
G02,medium,A2,0.5,0.245123,0.377439,0.377439,1.080154,0.005067,0.00047,0-0-1-2,False,5
G02,medium,A3,0.75,0.254462,0.372769,0.372769,1.083952,0.007532,4.2e-05,0-0-1-2,False,5
G02,medium,A4,1.0,0.258461,0.370769,0.370769,1.085437,0.008729,0.0,0-0-1-2,False,5
G02,low,A0,0.0,0.300907,0.349546,0.349546,1.096205,0.0,7.8e-05,0-0-1-2,False,5
G02,low,A1,0.25,0.303662,0.348169,0.348169,1.0966,1.8e-05,2.1e-05,0-0-1-2,False,5
G02,low,A2,0.5,0.305442,0.347279,0.347279,1.096836,4.9e-05,3e-06,0-0-1-2,False,5
G02,low,A3,0.75,0.306294,0.346853,0.346853,1.096944,6.9e-05,0.0,0-0-1-2,False,5
G02,low,A4,1.0,0.306643,0.346679,0.346679,1.096987,7.8e-05,0.0,0-0-1-2,False,5
