graph_id,n_nodes,evidence_level,agent,agent_rho,p_R,p_G,p_B,entropy,kl_to_A0,kl_to_A4,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,preferred_color_template
RG001,5,high,A0,0.0,0.001635,0.10895,0.889415,0.35625,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,high,A1,0.25,0.001635,0.10895,0.889415,0.35625,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,high,A2,0.5,0.001635,0.10895,0.889415,0.35625,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,high,A3,0.75,0.001635,0.10895,0.889415,0.35625,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,high,A4,1.0,0.001635,0.10895,0.889415,0.35625,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,medium,A0,0.0,0.081296,0.310852,0.607852,0.869839,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,medium,A1,0.25,0.081296,0.310852,0.607852,0.869839,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,medium,A2,0.5,0.081296,0.310852,0.607852,0.869839,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,medium,A3,0.75,0.081296,0.310852,0.607852,0.869839,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,medium,A4,1.0,0.081296,0.310852,0.607852,0.869839,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,low,A0,0.0,0.255302,0.344506,0.400192,1.082187,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
RG001,5,low,A1,0.25,0.255302,0.344506,0.400192,1.082187,0.0,0.0,4,0,D3-0:no-remote,0,0,0,1,0-0-0-1
