graph_id,evidence_level,selected_in_analysis_3,n_nodes,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,mean_js_all_pairs,min_js_all_pairs,mean_tv_all_pairs,exact_vs_rho_js,rho_vs_star_js,star_vs_cluster_js,exact_vs_star_js,cluster_vs_exact_js,M0_vs_nonlocal_mean_js
RG001,high,False,5,4,0,D3-0:no-remote,0,0,0,1,0.000895,0.0,0.015957,0.0,0.0,0.0,0.0,0.0,0.000537
RG001,medium,False,5,4,0,D3-0:no-remote,0,0,0,1,0.000174,0.0,0.008468,0.0,0.0,0.0,0.0,0.0,0.000104
RG001,low,False,5,4,0,D3-0:no-remote,0,0,0,1,1.2e-05,0.0,0.002332,0.0,0.0,0.0,0.0,0.0,7e-06
RG002,high,False,5,4,1,D3-0:no-remote,0,0,0,1,0.014593,0.0,0.099814,0.013406,0.005816,0.03581,0.03581,0.0,0.017123
RG002,medium,False,5,4,1,D3-0:no-remote,0,0,0,1,0.000889,0.0,0.029802,0.000354,0.000742,0.002119,0.002119,0.0,0.00123
RG002,low,False,5,4,1,D3-0:no-remote,0,0,0,1,1.1e-05,0.0,0.003723,3e-06,8e-06,1.9e-05,1.9e-05,0.0,1.6e-05
RG003,high,True,5,4,2,D3-0:no-remote,0,0,0,1,0.016403,0.0,0.10961,0.019372,0.005751,0.038339,0.038339,0.0,0.017943
RG003,medium,True,5,4,2,D3-0:no-remote,0,0,0,1,0.001004,0.0,0.031735,0.000699,0.000649,0.002375,0.002375,0.0,0.0013
RG003,low,True,5,4,2,D3-0:no-remote,0,0,0,1,1.5e-05,0.0,0.004165,6e-06,8e-06,2.7e-05,2.7e-05,0.0,2e-05
RG004,high,False,5,4,3,D3-0:no-remote,0,0,0,1,0.013886,0.0,0.135589,0.002838,0.01466,0.030163,0.030163,0.0,0.015496
RG004,medium,False,5,4,3,D3-0:no-remote,0,0,0,1,0.004061,0.0,0.070194,0.001664,0.003137,0.009345,0.009345,0.0,0.004468
RG004,low,False,5,4,3,D3-0:no-remote,0,0,0,1,2.7e-05,0.0,0.005729,1e-05,1.6e-05,5.2e-05,5.2e-05,0.0,2.5e-05
RG005,high,False,5,4,3,D3-0:no-remote,0,0,0,1,0.029744,0.0,0.1603,0.029266,0.015297,0.069185,0.069185,0.0,0.032794
RG005,medium,False,5,4,3,D3-0:no-remote,0,0,0,1,0.002545,0.0,0.051874,0.001313,0.002247,0.006146,0.006146,0.0,0.003279
RG005,low,False,5,4,3,D3-0:no-remote,0,0,0,1,2.4e-05,0.0,0.005249,1e-05,2e-05,5.4e-05,5.4e-05,0.0,3.3e-05
RG006,high,False,5,4,4,D3-0:no-remote,0,0,0,1,0.02972,0.0,0.157562,0.024245,0.013972,0.07174,0.07174,0.0,0.033308
RG006,medium,False,5,4,4,D3-0:no-remote,0,0,0,1,0.002557,0.0,0.052326,0.000698,0.002776,0.006245,0.006245,0.0,0.003447
RG006,low,False,5,4,4,D3-0:no-remote,0,0,0,1,2.4e-05,0.0,0.005072,4e-06,2.7e-05,5.1e-05,5.1e-05,0.0,3.4e-05
RG007,high,False,5,4,2,D3-0:no-remote,0,0,0,1,0.02692,0.0,0.147744,0.022047,0.012849,0.065694,0.065694,0.0,0.031068
RG007,medium,False,5,4,2,D3-0:no-remote,0,0,0,1,0.002355,0.0,0.049995,0.000899,0.002152,0.00582,0.00582,0.0,0.003132
RG007,low,False,5,4,2,D3-0:no-remote,0,0,0,1,2.1e-05,0.0,0.004888,6e-06,1.9e-05,4.7e-05,4.7e-05,0.0,2.9e-05
RG008,high,False,5,3,2,D3-1:tree-like-remote,1,1,0,2,0.08049,0.0,0.324814,0.019594,0.146403,0.256285,0.256285,0.0,0.058866
RG008,medium,False,5,3,2,D3-1:tree-like-remote,1,1,0,2,0.010839,0.0,0.117174,0.001416,0.023805,0.036576,0.036576,0.0,0.007391
RG008,low,False,5,3,2,D3-1:tree-like-remote,1,1,0,2,0.000373,0.0,0.020596,2.6e-05,0.000963,0.001304,0.001304,0.0,0.000212
RG009,high,False,5,3,2,D3-2:strong-remote,1,2,0,2,0.070912,0.001568,0.305716,0.014114,0.180596,0.108706,0.280758,0.04848,0.049244
RG009,medium,False,5,3,2,D3-2:strong-remote,1,2,0,2,0.010871,0.000377,0.11625,0.000451,0.032012,0.025441,0.039337,0.001858,0.007624
RG009,low,False,5,3,2,D3-2:strong-remote,1,2,0,2,0.000452,1e-06,0.022163,1e-06,0.001393,0.001447,0.001403,3e-06,0.000284
RG010,high,False,5,3,1,D3-1:tree-like-remote,1,1,0,2,0.056395,0.0,0.268667,0.016228,0.102527,0.190406,0.190406,0.0,0.036695
RG010,medium,False,5,3,1,D3-1:tree-like-remote,1,1,0,2,0.006573,0.0,0.086098,0.00056,0.016467,0.02298,0.02298,0.0,0.003801
RG010,low,False,5,3,1,D3-1:tree-like-remote,1,1,0,2,0.000316,0.0,0.018347,1.6e-05,0.000851,0.0011,0.0011,0.0,0.000171
