graph_id,evidence_level,left_family,right_family,js_divergence,total_variation,D1_target_degree,D2_neighbor_coupling,D3_remote_class
RG001,high,M_exact,M_0,0.0,0.0,4,0,D3-0:no-remote
RG001,high,M_exact,M_rho,0.0,0.0,4,0,D3-0:no-remote
RG001,high,M_exact,"M_rho,beta",0.002686,0.047872,4,0,D3-0:no-remote
RG001,high,M_exact,M_star,0.0,0.0,4,0,D3-0:no-remote
RG001,high,M_exact,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,high,M_0,M_rho,0.0,0.0,4,0,D3-0:no-remote
RG001,high,M_0,"M_rho,beta",0.002686,0.047872,4,0,D3-0:no-remote
RG001,high,M_0,M_star,0.0,0.0,4,0,D3-0:no-remote
RG001,high,M_0,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,high,M_rho,"M_rho,beta",0.002686,0.047872,4,0,D3-0:no-remote
RG001,high,M_rho,M_star,0.0,0.0,4,0,D3-0:no-remote
RG001,high,M_rho,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,high,"M_rho,beta",M_star,0.002686,0.047872,4,0,D3-0:no-remote
RG001,high,"M_rho,beta",M_cluster,0.002686,0.047872,4,0,D3-0:no-remote
RG001,high,M_star,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,M_exact,M_0,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,M_exact,M_rho,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,M_exact,"M_rho,beta",0.000521,0.025404,4,0,D3-0:no-remote
RG001,medium,M_exact,M_star,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,M_exact,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,M_0,M_rho,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,M_0,"M_rho,beta",0.000521,0.025404,4,0,D3-0:no-remote
RG001,medium,M_0,M_star,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,M_0,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,M_rho,"M_rho,beta",0.000521,0.025404,4,0,D3-0:no-remote
RG001,medium,M_rho,M_star,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,M_rho,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,medium,"M_rho,beta",M_star,0.000521,0.025404,4,0,D3-0:no-remote
RG001,medium,"M_rho,beta",M_cluster,0.000521,0.025404,4,0,D3-0:no-remote
RG001,medium,M_star,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,low,M_exact,M_0,0.0,0.0,4,0,D3-0:no-remote
RG001,low,M_exact,M_rho,0.0,0.0,4,0,D3-0:no-remote
RG001,low,M_exact,"M_rho,beta",3.7e-05,0.006997,4,0,D3-0:no-remote
RG001,low,M_exact,M_star,0.0,0.0,4,0,D3-0:no-remote
RG001,low,M_exact,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,low,M_0,M_rho,0.0,0.0,4,0,D3-0:no-remote
RG001,low,M_0,"M_rho,beta",3.7e-05,0.006997,4,0,D3-0:no-remote
RG001,low,M_0,M_star,0.0,0.0,4,0,D3-0:no-remote
RG001,low,M_0,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,low,M_rho,"M_rho,beta",3.7e-05,0.006997,4,0,D3-0:no-remote
RG001,low,M_rho,M_star,0.0,0.0,4,0,D3-0:no-remote
RG001,low,M_rho,M_cluster,0.0,0.0,4,0,D3-0:no-remote
RG001,low,"M_rho,beta",M_star,3.7e-05,0.006997,4,0,D3-0:no-remote
RG001,low,"M_rho,beta",M_cluster,3.7e-05,0.006997,4,0,D3-0:no-remote
