graph_id,evidence_level,family,p_R,p_G,p_B
RG001,high,M_exact,0.001635,0.10895,0.889415
RG001,high,M_0,0.001635,0.10895,0.889415
RG001,high,M_rho,0.001635,0.10895,0.889415
RG001,high,"M_rho,beta",0.005093,0.153363,0.841543
RG001,high,M_star,0.001635,0.10895,0.889415
RG001,high,M_cluster,0.001635,0.10895,0.889415
RG001,medium,M_exact,0.081296,0.310852,0.607852
RG001,medium,M_0,0.081296,0.310852,0.607852
RG001,medium,M_rho,0.081296,0.310852,0.607852
RG001,medium,"M_rho,beta",0.097048,0.320504,0.582447
RG001,medium,M_star,0.081296,0.310852,0.607852
RG001,medium,M_cluster,0.081296,0.310852,0.607852
RG001,low,M_exact,0.255302,0.344506,0.400192
RG001,low,M_0,0.255302,0.344506,0.400192
RG001,low,M_rho,0.255302,0.344506,0.400192
RG001,low,"M_rho,beta",0.262299,0.343909,0.393792
RG001,low,M_star,0.255302,0.344506,0.400192
RG001,low,M_cluster,0.255302,0.344506,0.400192
RG002,high,M_exact,0.243181,0.37841,0.37841
RG002,high,M_0,0.057714,0.471143,0.471143
RG002,high,M_rho,0.118246,0.440877,0.440877
RG002,high,"M_rho,beta",0.131716,0.434142,0.434142
RG002,high,M_star,0.057714,0.471143,0.471143
RG002,high,M_cluster,0.243181,0.37841,0.37841
RG002,medium,M_exact,0.258461,0.370769,0.370769
RG002,medium,M_0,0.20363,0.398185,0.398185
RG002,medium,M_rho,0.235514,0.382243,0.382243
RG002,medium,"M_rho,beta",0.243897,0.378051,0.378051
RG002,medium,M_star,0.20363,0.398185,0.398185
RG002,medium,M_cluster,0.258461,0.370769,0.370769
RG002,low,M_exact,0.306643,0.346679,0.346679
RG002,low,M_0,0.300907,0.349546,0.349546
RG002,low,M_rho,0.304508,0.347746,0.347746
RG002,low,"M_rho,beta",0.30821,0.345895,0.345895
RG002,low,M_star,0.300907,0.349546,0.349546
RG002,low,M_cluster,0.306643,0.346679,0.346679
RG003,high,M_exact,0.25158,0.373165,0.375255
RG003,high,M_0,0.057714,0.471143,0.471143
RG003,high,M_rho,0.10786,0.497874,0.394266
RG003,high,"M_rho,beta",0.125355,0.458122,0.416523
