ranking,rank,graph_id,evidence_level,selected_in_analysis_3,n_nodes,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,mean_js_all_pairs,min_js_all_pairs,mean_tv_all_pairs,exact_vs_rho_js,rho_vs_star_js,star_vs_cluster_js,exact_vs_star_js,cluster_vs_exact_js,M0_vs_nonlocal_mean_js
mean_js_all_pairs,1,RG112,high,True,6,3,1,D3-2:strong-remote,2,6,0,2,0.19984,0.000459,0.459386,0.011103,0.479272,0.559631,0.577396,0.000459,0.174336
mean_js_all_pairs,2,RG114,high,True,6,3,1,D3-2:strong-remote,2,5,0,2,0.190857,0.002283,0.453926,0.013837,0.457767,0.527304,0.569727,0.002283,0.163442
mean_js_all_pairs,3,RG088,high,True,6,3,2,D3-2:strong-remote,2,5,0,2,0.189423,0.003112,0.454696,0.017247,0.443411,0.527304,0.567934,0.003112,0.158975
mean_js_all_pairs,4,RG121,high,False,6,3,1,D3-2:strong-remote,2,4,0,2,0.185545,0.005308,0.451292,0.01155,0.416796,0.564299,0.522635,0.005308,0.154493
mean_js_all_pairs,5,RG086,high,False,6,3,2,D3-2:strong-remote,2,3,0,2,0.184062,0.0,0.452585,0.031495,0.377854,0.548403,0.548403,0.0,0.147602
mean_js_all_pairs,6,RG125,high,False,6,3,1,D3-2:strong-remote,2,4,0,2,0.182746,0.003743,0.448303,0.016735,0.436899,0.497796,0.562665,0.00489,0.153504
mean_js_all_pairs,7,RG087,high,False,6,3,2,D3-2:strong-remote,2,4,0,2,0.181802,0.006096,0.449648,0.022732,0.419831,0.497796,0.564355,0.006098,0.149351
mean_js_all_pairs,8,RG110,high,False,6,3,1,D3-2:strong-remote,2,4,0,2,0.181251,0.0,0.451022,0.044513,0.340421,0.548088,0.548088,0.0,0.1418
mean_js_all_pairs,9,RG135,high,False,6,3,1,D3-2:strong-remote,2,3,0,2,0.179127,0.003797,0.447141,0.014788,0.394553,0.548403,0.515608,0.003797,0.146529
mean_js_all_pairs,10,RG145,high,False,6,3,0,D3-2:strong-remote,2,6,0,2,0.178423,0.004463,0.44565,0.008992,0.402443,0.559631,0.497452,0.004463,0.147937
mean_js_all_pairs,11,RG131,high,False,6,3,1,D3-2:strong-remote,2,4,0,2,0.175199,0.000383,0.43986,0.01701,0.432168,0.451794,0.559494,0.012452,0.145388
mean_js_all_pairs,12,RG091,high,False,6,3,2,D3-2:strong-remote,2,4,0,2,0.173795,0.001294,0.440938,0.022164,0.416119,0.451794,0.55944,0.01317,0.14114
