condition_key,graph_id,evidence_level,D1_target_degree,D2_neighbor_coupling,D3_remote_class,S2_count,e12,e22,radius,rho_sensitivity,beta_sensitivity,cross_axis_js,diagnostic_score
RG001_high,RG001,high,4,0,D3-0:no-remote,0,0,0,1,0.0,0.0014,0.0014,0.0014
RG001_medium,RG001,medium,4,0,D3-0:no-remote,0,0,0,1,0.0,0.000269,0.000269,0.000269
RG001_low,RG001,low,4,0,D3-0:no-remote,0,0,0,1,0.0,1.9e-05,1.9e-05,1.9e-05
RG002_high,RG002,high,4,1,D3-0:no-remote,0,0,0,1,0.000618,0.000107,0.000722,0.000828
RG002_medium,RG002,medium,4,1,D3-0:no-remote,0,0,0,1,3.9e-05,2.4e-05,6.8e-05,9.2e-05
RG002_low,RG002,low,4,1,D3-0:no-remote,0,0,0,1,0.0,4e-06,5e-06,5e-06
RG003_high,RG003,high,4,2,D3-0:no-remote,0,0,0,1,0.000597,0.000483,0.001025,0.001508
RG003_medium,RG003,medium,4,2,D3-0:no-remote,0,0,0,1,5.1e-05,4.7e-05,9.9e-05,0.000145
RG003_low,RG003,low,4,2,D3-0:no-remote,0,0,0,1,1e-06,6e-06,6e-06,7e-06
RG004_high,RG004,high,4,3,D3-0:no-remote,0,0,0,1,0.000484,0.006007,0.006413,0.006897
RG004_medium,RG004,medium,4,3,D3-0:no-remote,0,0,0,1,0.000189,0.000843,0.001011,0.0012
RG004_low,RG004,low,4,3,D3-0:no-remote,0,0,0,1,1e-06,1.3e-05,1.4e-05,1.5e-05
RG005_high,RG005,high,4,3,D3-0:no-remote,0,0,0,1,0.001343,0.001282,0.002546,0.003827
RG005_medium,RG005,medium,4,3,D3-0:no-remote,0,0,0,1,0.000129,4.4e-05,0.000169,0.000213
RG005_low,RG005,low,4,3,D3-0:no-remote,0,0,0,1,1e-06,2e-06,3e-06,4e-06
RG006_high,RG006,high,4,4,D3-0:no-remote,0,0,0,1,0.00201,0.000913,0.002913,0.003826
RG006_medium,RG006,medium,4,4,D3-0:no-remote,0,0,0,1,0.00021,6.6e-05,0.000275,0.000341
RG006_low,RG006,low,4,4,D3-0:no-remote,0,0,0,1,2e-06,1e-06,3e-06,4e-06
RG007_high,RG007,high,4,2,D3-0:no-remote,0,0,0,1,0.001187,0.000148,0.001337,0.001485
RG007_medium,RG007,medium,4,2,D3-0:no-remote,0,0,0,1,0.000106,1.8e-05,0.000126,0.000144
RG007_low,RG007,low,4,2,D3-0:no-remote,0,0,0,1,1e-06,1e-06,2e-06,3e-06
RG008_high,RG008,high,3,2,D3-1:tree-like-remote,1,1,0,2,0.002045,0.009066,0.010829,0.012874
RG008_medium,RG008,medium,3,2,D3-1:tree-like-remote,1,1,0,2,0.000205,0.000649,0.00082,0.001025
RG008_low,RG008,low,3,2,D3-1:tree-like-remote,1,1,0,2,4e-06,1.4e-05,1.7e-05,2.1e-05
RG009_high,RG009,high,3,2,D3-2:strong-remote,1,2,0,2,0.002712,0.012809,0.014933,0.017645
RG009_medium,RG009,medium,3,2,D3-2:strong-remote,1,2,0,2,0.000243,0.000911,0.001056,0.001299
RG009_low,RG009,low,3,2,D3-2:strong-remote,1,2,0,2,4e-06,2.1e-05,2.2e-05,2.6e-05
RG010_high,RG010,high,3,1,D3-1:tree-like-remote,1,1,0,2,0.001119,0.003616,0.004665,0.005784
RG010_medium,RG010,medium,3,1,D3-1:tree-like-remote,1,1,0,2,7.4e-05,0.000184,0.000248,0.000322
RG010_low,RG010,low,3,1,D3-1:tree-like-remote,1,1,0,2,2e-06,6e-06,8e-06,1e-05
RG011_high,RG011,high,3,1,D3-2:strong-remote,1,2,0,2,0.001659,0.005273,0.006877,0.008536
RG011_medium,RG011,medium,3,1,D3-2:strong-remote,1,2,0,2,0.000365,0.000733,0.001086,0.001451
RG011_low,RG011,low,3,1,D3-2:strong-remote,1,2,0,2,2.8e-05,5e-05,7.8e-05,0.000106
RG012_high,RG012,high,3,1,D3-2:strong-remote,1,3,0,2,0.004129,0.017776,0.020876,0.025005
RG012_medium,RG012,medium,3,1,D3-2:strong-remote,1,3,0,2,0.000813,0.002059,0.002748,0.003561
RG012_low,RG012,low,3,1,D3-2:strong-remote,1,3,0,2,4e-05,9.5e-05,0.00013,0.00017
RG013_high,RG013,high,3,1,D3-2:strong-remote,1,2,0,2,0.002839,0.012191,0.014406,0.017245
RG013_medium,RG013,medium,3,1,D3-2:strong-remote,1,2,0,2,0.000356,0.001044,0.001327,0.001683
RG013_low,RG013,low,3,1,D3-2:strong-remote,1,2,0,2,1.1e-05,3.4e-05,4.3e-05,5.5e-05
RG014_high,RG014,high,3,1,D3-1:tree-like-remote,1,1,0,2,0.002142,0.008478,0.010292,0.012434
RG014_medium,RG014,medium,3,1,D3-1:tree-like-remote,1,1,0,2,0.000195,0.000577,0.000739,0.000934
RG014_low,RG014,low,3,1,D3-1:tree-like-remote,1,1,0,2,4e-06,1.3e-05,1.6e-05,2e-05
RG015_high,RG015,high,3,0,D3-1:tree-like-remote,1,1,0,2,0.001453,0.004526,0.005844,0.007297
RG015_medium,RG015,medium,3,0,D3-1:tree-like-remote,1,1,0,2,9.1e-05,0.000223,0.000299,0.00039
RG015_low,RG015,low,3,0,D3-1:tree-like-remote,1,1,0,2,3e-06,6e-06,9e-06,1.1e-05
RG016_high,RG016,high,3,0,D3-2:strong-remote,1,2,0,2,0.001987,0.006601,0.00834,0.010328
RG016_medium,RG016,medium,3,0,D3-2:strong-remote,1,2,0,2,0.000204,0.000502,0.00067,0.000873
RG016_low,RG016,low,3,0,D3-2:strong-remote,1,2,0,2,9e-06,2.2e-05,2.9e-05,3.9e-05
RG017_high,RG017,high,3,0,D3-2:strong-remote,1,3,0,2,0.002471,0.0087,0.010774,0.013245
RG017_medium,RG017,medium,3,0,D3-2:strong-remote,1,3,0,2,0.000294,0.000745,0.000973,0.001267
RG017_low,RG017,low,3,0,D3-2:strong-remote,1,3,0,2,1.6e-05,3.9e-05,5.1e-05,6.6e-05
RG018_high,RG018,high,2,1,D3-1:tree-like-remote,2,2,0,2,0.001166,0.000271,0.001428,0.001698
RG018_medium,RG018,medium,2,1,D3-1:tree-like-remote,2,2,0,2,9.8e-05,2.2e-05,0.000122,0.000144
RG018_low,RG018,low,2,1,D3-1:tree-like-remote,2,2,0,2,3e-06,0.0,3e-06,4e-06
RG019_high,RG019,high,2,1,D3-2:strong-remote,2,2,1,2,0.00023,0.005686,0.005762,0.005992
RG019_medium,RG019,medium,2,1,D3-2:strong-remote,2,2,1,2,0.00018,0.000856,0.000999,0.001179
RG019_low,RG019,low,2,1,D3-2:strong-remote,2,2,1,2,2e-06,1.7e-05,1.7e-05,1.9e-05
RG020_high,RG020,high,2,0,D3-1:tree-like-remote,2,2,0,2,0.000577,0.000916,0.001482,0.002058
RG020_medium,RG020,medium,2,0,D3-1:tree-like-remote,2,2,0,2,5.7e-05,2.8e-05,8.7e-05,0.000115
RG020_low,RG020,low,2,0,D3-1:tree-like-remote,2,2,0,2,2e-06,1e-06,3e-06,3e-06
RG021_high,RG021,high,2,0,D3-2:strong-remote,2,3,0,2,0.001865,0.000816,0.00268,0.003495
RG021_medium,RG021,medium,2,0,D3-2:strong-remote,2,3,0,2,0.000174,0.000149,0.000312,0.000461
RG021_low,RG021,low,2,0,D3-2:strong-remote,2,3,0,2,7e-06,7e-06,1.4e-05,2.1e-05
RG022_high,RG022,high,2,0,D3-2:strong-remote,2,4,0,2,0.002284,0.000879,0.00315,0.004029
RG022_medium,RG022,medium,2,0,D3-2:strong-remote,2,4,0,2,0.000185,0.000162,0.000329,0.000491
RG022_low,RG022,low,2,0,D3-2:strong-remote,2,4,0,2,6e-06,6e-06,1.1e-05,1.7e-05
RG023_high,RG023,high,2,0,D3-2:strong-remote,2,4,1,2,0.001931,0.000716,0.002644,0.00336
RG023_medium,RG023,medium,2,0,D3-2:strong-remote,2,4,1,2,0.000166,0.000148,0.000301,0.000449
RG023_low,RG023,low,2,0,D3-2:strong-remote,2,4,1,2,4e-06,4e-06,7e-06,1.1e-05
RG024_high,RG024,high,2,0,D3-2:strong-remote,2,3,1,2,0.000849,0.001753,0.002523,0.003372
RG024_medium,RG024,medium,2,0,D3-2:strong-remote,2,3,1,2,0.000159,0.00024,0.000382,0.000541
RG024_low,RG024,low,2,0,D3-2:strong-remote,2,3,1,2,8e-06,1.4e-05,2.1e-05,2.9e-05
RG025_high,RG025,high,2,0,D3-2:strong-remote,2,2,1,2,0.000734,0.000955,0.001649,0.002384
RG025_medium,RG025,medium,2,0,D3-2:strong-remote,2,2,1,2,8e-05,3.7e-05,0.000118,0.000155
