true_rho,true_beta,recovered_rho,recovered_beta,regime
0.0,1.5,0.0,1.5,noiseless
0.0,2.0,0.0,2.0,noiseless
0.0,2.5,0.0,2.5,noiseless
0.0,3.0,0.0,3.0,noiseless
0.0,4.0,0.0,4.0,noiseless
0.0,5.0,0.0,5.0,noiseless
0.0,6.0,0.0,6.0,noiseless
0.15,1.5,0.15,1.5,noiseless
0.15,2.0,0.15,2.0,noiseless
0.15,2.5,0.15,2.5,noiseless
0.15,3.0,0.15,3.0,noiseless
0.15,4.0,0.15,4.0,noiseless
0.15,5.0,0.15,5.0,noiseless
0.15,6.0,0.15,6.0,noiseless
0.25,1.5,0.25,1.5,noiseless
0.25,2.0,0.25,2.0,noiseless
0.25,2.5,0.25,2.5,noiseless
0.25,3.0,0.25,3.0,noiseless
0.25,4.0,0.25,4.0,noiseless
0.25,5.0,0.25,5.0,noiseless
0.25,6.0,0.25,6.0,noiseless
0.35,1.5,0.35,1.5,noiseless
0.35,2.0,0.35,2.0,noiseless
0.35,2.5,0.35,2.5,noiseless
0.35,3.0,0.35,3.0,noiseless
0.35,4.0,0.35,4.0,noiseless
0.35,5.0,0.35,5.0,noiseless
0.35,6.0,0.35,6.0,noiseless
0.45,1.5,0.45,1.5,noiseless
0.45,2.0,0.45,2.0,noiseless
0.45,2.5,0.45,2.5,noiseless
0.45,3.0,0.45,3.0,noiseless
0.45,4.0,0.45,4.0,noiseless
0.45,5.0,0.45,5.0,noiseless
0.45,6.0,0.45,6.0,noiseless
0.55,1.5,0.55,1.5,noiseless
0.55,2.0,0.55,2.0,noiseless
0.55,2.5,0.55,2.5,noiseless
0.55,3.0,0.55,3.0,noiseless
0.55,4.0,0.55,4.0,noiseless
0.55,5.0,0.55,5.0,noiseless
0.55,6.0,0.55,6.0,noiseless
0.65,1.5,0.65,1.5,noiseless
0.65,2.0,0.65,2.0,noiseless
0.65,2.5,0.65,2.5,noiseless
0.65,3.0,0.65,3.0,noiseless
0.65,4.0,0.65,4.0,noiseless
0.65,5.0,0.65,5.0,noiseless
0.65,6.0,0.65,6.0,noiseless
0.75,1.5,0.75,1.5,noiseless
0.75,2.0,0.75,2.0,noiseless
0.75,2.5,0.75,2.5,noiseless
0.75,3.0,0.75,3.0,noiseless
0.75,4.0,0.75,4.0,noiseless
0.75,5.0,0.75,5.0,noiseless
0.75,6.0,0.75,6.0,noiseless
1.0,1.5,1.0,1.5,noiseless
1.0,2.0,1.0,2.0,noiseless
1.0,2.5,1.0,2.5,noiseless
1.0,3.0,1.0,3.0,noiseless
1.0,4.0,1.0,4.0,noiseless
1.0,5.0,1.0,5.0,noiseless
1.0,6.0,1.0,6.0,noiseless
