graph_id,evidence_level,variant,js_to_M0,p_R,p_G,p_B
RG001,high,pure,0.0,0.001635,0.10895,0.889415
RG001,high,weighted,0.0144960982,2.2e-05,0.027399,0.972579
RG001,high,clipped,0.1136912197,0.235371,0.240092,0.524537
RG001,medium,pure,0.0,0.081296,0.310852,0.607852
RG001,medium,weighted,0.013912438,0.024183,0.236453,0.739364
RG001,medium,clipped,0.0435352858,0.292316,0.316931,0.390753
RG001,low,pure,0.0,0.255302,0.344506,0.400192
RG001,low,weighted,0.0018460727,0.207835,0.345909,0.446256
RG001,low,clipped,0.0030166257,0.321729,0.334279,0.343992
RG002,high,pure,0.0,0.057714,0.471143,0.471143
RG002,high,weighted,0.0171044529,0.001722,0.499139,0.499139
RG002,high,clipped,0.0640051775,0.329,0.3355,0.3355
RG002,medium,pure,0.0,0.20363,0.398185,0.398185
RG002,medium,weighted,0.0176251968,0.075592,0.462204,0.462204
RG002,medium,clipped,0.0087259941,0.319367,0.340316,0.340316
RG002,low,pure,0.0,0.300907,0.349546,0.349546
RG002,low,weighted,0.0016136505,0.250172,0.374914,0.374914
RG002,low,clipped,0.0004416434,0.328508,0.335746,0.335746
RG003,high,pure,0.0,0.057714,0.471143,0.471143
RG003,high,weighted,0.0462406058,0.00255,0.738855,0.258596
RG003,high,clipped,0.0640051775,0.329,0.3355,0.3355
RG003,medium,pure,0.0,0.20363,0.398185,0.398185
RG003,medium,weighted,0.0169707603,0.087055,0.532293,0.380653
RG003,medium,clipped,0.0087259941,0.319367,0.340316,0.340316
RG003,low,pure,0.0,0.300907,0.349546,0.349546
RG003,low,weighted,0.0013180512,0.25713,0.385342,0.357528
RG003,low,clipped,0.0004416434,0.328508,0.335746,0.335746
RG004,high,pure,0.0,0.471143,0.471143,0.057714
RG004,high,weighted,0.0675005571,0.15165,0.813474,0.034876
RG004,high,clipped,0.0640051775,0.3355,0.3355,0.329
RG004,medium,pure,-0.0,0.398185,0.398185,0.20363
RG004,medium,weighted,0.0072516043,0.299818,0.512688,0.187494
RG004,medium,clipped,0.0087259941,0.340316,0.340316,0.319367
RG004,low,pure,0.0,0.349546,0.349546,0.300907
RG004,low,weighted,0.0003216343,0.330275,0.372335,0.29739
RG004,low,clipped,0.0004416434,0.335746,0.335746,0.328508
RG005,high,pure,0.0,0.057714,0.471143,0.471143
RG005,high,weighted,0.0279535831,0.012764,0.689523,0.297713
RG005,high,clipped,0.0640051775,0.329,0.3355,0.3355
RG005,medium,pure,0.0,0.20363,0.398185,0.398185
RG005,medium,weighted,0.0058252549,0.136796,0.489145,0.374059
RG005,medium,clipped,0.0087259941,0.319367,0.340316,0.340316
RG005,low,pure,0.0,0.300907,0.349546,0.349546
RG005,low,weighted,0.0003650856,0.279224,0.371184,0.349591
RG005,low,clipped,0.0004416434,0.328508,0.335746,0.335746
RG006,high,pure,0.0,0.057714,0.471143,0.471143
RG006,high,weighted,0.0074521436,0.01389,0.493055,0.493055
RG006,high,clipped,0.0640051775,0.329,0.3355,0.3355
RG006,medium,pure,0.0,0.20363,0.398185,0.398185
RG006,medium,weighted,0.0038390061,0.137859,0.431071,0.431071
RG006,medium,clipped,0.0087259941,0.319367,0.340316,0.340316
RG006,low,pure,0.0,0.300907,0.349546,0.349546
RG006,low,weighted,0.0002830402,0.279315,0.360343,0.360343
RG006,low,clipped,0.0004416434,0.328508,0.335746,0.335746
RG007,high,pure,0.0,0.057714,0.471143,0.471143
RG007,high,weighted,0.0074521436,0.01389,0.493055,0.493055
RG007,high,clipped,0.0640051775,0.329,0.3355,0.3355
RG007,medium,pure,0.0,0.20363,0.398185,0.398185
RG007,medium,weighted,0.0038390061,0.137859,0.431071,0.431071
RG007,medium,clipped,0.0087259941,0.319367,0.340316,0.340316
RG007,low,pure,0.0,0.300907,0.349546,0.349546
RG007,low,weighted,0.0002830402,0.279315,0.360343,0.360343
RG007,low,clipped,0.0004416434,0.328508,0.335746,0.335746
RG008,high,pure,-0.0,0.333333,0.333333,0.333333
RG008,high,weighted,0.0185929495,0.23823,0.23823,0.52354
RG008,high,clipped,-0.0,0.333333,0.333333,0.333333
RG008,medium,pure,0.0,0.333333,0.333333,0.333333
RG008,medium,weighted,0.0018220815,0.304328,0.304328,0.391344
RG008,medium,clipped,-0.0,0.333333,0.333333,0.333333
RG008,low,pure,0.0,0.333333,0.333333,0.333333
RG008,low,weighted,8.84968e-05,0.327033,0.327033,0.345934
RG008,low,clipped,-0.0,0.333333,0.333333,0.333333
RG009,high,pure,0.0,0.333333,0.333333,0.333333
RG009,high,weighted,0.0,0.333333,0.333333,0.333333
RG009,high,clipped,0.0,0.333333,0.333333,0.333333
RG009,medium,pure,0.0,0.333333,0.333333,0.333333
RG009,medium,weighted,0.0,0.333333,0.333333,0.333333
RG009,medium,clipped,0.0,0.333333,0.333333,0.333333
RG009,low,pure,0.0,0.333333,0.333333,0.333333
RG009,low,weighted,0.0,0.333333,0.333333,0.333333
RG009,low,clipped,0.0,0.333333,0.333333,0.333333
RG010,high,pure,0.0,0.333333,0.333333,0.333333
RG010,high,weighted,0.074371907,0.08319,0.237689,0.679121
RG010,high,clipped,0.0,0.333333,0.333333,0.333333
RG010,medium,pure,0.0,0.333333,0.333333,0.333333
RG010,medium,weighted,0.009154188,0.229684,0.321183,0.449133
RG010,medium,clipped,-0.0,0.333333,0.333333,0.333333
RG010,low,pure,-0.0,0.333333,0.333333,0.333333
RG010,low,weighted,0.0004671612,0.308696,0.332711,0.358594
RG010,low,clipped,0.0,0.333333,0.333333,0.333333
RG011,high,pure,0.0,0.333333,0.333333,0.333333
RG011,high,weighted,0.0909417744,0.124255,0.751489,0.124255
RG011,high,clipped,0.0,0.333333,0.333333,0.333333
RG011,medium,pure,0.0,0.333333,0.333333,0.333333
RG011,medium,weighted,0.0098143169,0.264775,0.47045,0.264775
RG011,medium,clipped,0.0,0.333333,0.333333,0.333333
RG011,low,pure,0.0,0.333333,0.333333,0.333333
RG011,low,weighted,0.0004674247,0.318772,0.362456,0.318772
RG011,low,clipped,0.0,0.333333,0.333333,0.333333
RG012,high,pure,0.0,0.333333,0.333333,0.333333
RG012,high,weighted,0.0185929495,0.23823,0.52354,0.23823
RG012,high,clipped,0.0,0.333333,0.333333,0.333333
RG012,medium,pure,0.0,0.333333,0.333333,0.333333
RG012,medium,weighted,0.0018220815,0.304328,0.391344,0.304328
RG012,medium,clipped,0.0,0.333333,0.333333,0.333333
RG012,low,pure,0.0,0.333333,0.333333,0.333333
RG012,low,weighted,8.84968e-05,0.327033,0.345934,0.327033
RG012,low,clipped,0.0,0.333333,0.333333,0.333333
RG013,high,pure,0.0,0.333333,0.333333,0.333333
RG013,high,weighted,0.0182172955,0.168961,0.415519,0.415519
RG013,high,clipped,0.0,0.333333,0.333333,0.333333
RG013,medium,pure,0.0,0.333333,0.333333,0.333333
RG013,medium,weighted,0.0021726005,0.272782,0.363609,0.363609
RG013,medium,clipped,0.0,0.333333,0.333333,0.333333
RG013,low,pure,0.0,0.333333,0.333333,0.333333
RG013,low,weighted,0.0001132826,0.319219,0.34039,0.34039
RG013,low,clipped,0.0,0.333333,0.333333,0.333333
RG014,high,pure,0.0,0.333333,0.333333,0.333333
RG014,high,weighted,0.0,0.333333,0.333333,0.333333
RG014,high,clipped,0.0,0.333333,0.333333,0.333333
RG014,medium,pure,0.0,0.333333,0.333333,0.333333
RG014,medium,weighted,0.0,0.333333,0.333333,0.333333
RG014,medium,clipped,0.0,0.333333,0.333333,0.333333
RG014,low,pure,0.0,0.333333,0.333333,0.333333
RG014,low,weighted,0.0,0.333333,0.333333,0.333333
RG014,low,clipped,0.0,0.333333,0.333333,0.333333
RG015,high,pure,0.0,0.333333,0.333333,0.333333
RG015,high,weighted,0.0447576994,0.093817,0.453092,0.453092
RG015,high,clipped,0.0,0.333333,0.333333,0.333333
RG015,medium,pure,0.0,0.333333,0.333333,0.333333
RG015,medium,weighted,0.0063339755,0.232169,0.383916,0.383916
RG015,medium,clipped,0.0,0.333333,0.333333,0.333333
RG015,low,pure,0.0,0.333333,0.333333,0.333333
RG015,low,weighted,0.0003439137,0.308846,0.345577,0.345577
RG015,low,clipped,0.0,0.333333,0.333333,0.333333
RG016,high,pure,0.0,0.333333,0.333333,0.333333
RG016,high,weighted,0.0471962382,0.181004,0.181004,0.637991
RG016,high,clipped,0.0,0.333333,0.333333,0.333333
RG016,medium,pure,0.0,0.333333,0.333333,0.333333
RG016,medium,weighted,0.0047425704,0.286093,0.286093,0.427813
RG016,medium,clipped,-0.0,0.333333,0.333333,0.333333
RG016,low,pure,-0.0,0.333333,0.333333,0.333333
RG016,low,weighted,0.000227734,0.323199,0.323199,0.353601
RG016,low,clipped,0.0,0.333333,0.333333,0.333333
RG017,high,pure,0.0,0.333333,0.333333,0.333333
RG017,high,weighted,0.0,0.333333,0.333333,0.333333
RG017,high,clipped,0.0,0.333333,0.333333,0.333333
RG017,medium,pure,0.0,0.333333,0.333333,0.333333
RG017,medium,weighted,0.0,0.333333,0.333333,0.333333
RG017,medium,clipped,0.0,0.333333,0.333333,0.333333
RG017,low,pure,0.0,0.333333,0.333333,0.333333
RG017,low,weighted,0.0,0.333333,0.333333,0.333333
RG017,low,clipped,0.0,0.333333,0.333333,0.333333
RG018,high,pure,-0.0,0.098391,0.803217,0.098391
RG018,high,weighted,0.0248182962,0.026669,0.946662,0.026669
RG018,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG018,medium,pure,0.0,0.252817,0.494367,0.252817
RG018,medium,weighted,0.0067633444,0.19505,0.609901,0.19505
RG018,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG018,low,pure,0.0,0.316292,0.367417,0.316292
RG018,low,weighted,0.0003237562,0.303943,0.392115,0.303943
RG018,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG019,high,pure,-0.0,0.098391,0.098391,0.803217
RG019,high,weighted,0.0248182962,0.026669,0.026669,0.946662
RG019,high,clipped,0.0386078597,0.227277,0.227277,0.545447
RG019,medium,pure,0.0,0.252817,0.252817,0.494367
RG019,medium,weighted,0.0067633444,0.19505,0.19505,0.609901
RG019,medium,clipped,0.0024043316,0.287363,0.287363,0.425275
RG019,low,pure,0.0,0.316292,0.316292,0.367417
RG019,low,weighted,0.0003237562,0.303943,0.303943,0.392115
RG019,low,clipped,0.0001141738,0.323545,0.323545,0.352909
RG020,high,pure,-0.0,0.098391,0.803217,0.098391
RG020,high,weighted,0.0244848018,0.009043,0.917136,0.073822
RG020,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG020,medium,pure,0.0,0.252817,0.494367,0.252817
RG020,medium,weighted,0.0113260768,0.136463,0.596692,0.266845
RG020,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG020,low,pure,0.0,0.316292,0.367417,0.316292
RG020,low,weighted,0.0007408618,0.281524,0.391447,0.327029
RG020,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG021,high,pure,0.0,0.098391,0.803217,0.098391
RG021,high,weighted,0.0246232073,0.017441,0.942166,0.040394
RG021,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG021,medium,pure,-0.0,0.252817,0.494367,0.252817
RG021,medium,weighted,0.0074984627,0.16997,0.607765,0.222265
RG021,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG021,low,pure,0.0,0.316292,0.367417,0.316292
RG021,low,weighted,0.0003905503,0.294889,0.392008,0.313103
RG021,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG022,high,pure,-0.0,0.098391,0.803217,0.098391
RG022,high,weighted,0.0248182962,0.026669,0.946662,0.026669
RG022,high,clipped,0.0386078597,0.227277,0.545447,0.227277
RG022,medium,pure,0.0,0.252817,0.494367,0.252817
RG022,medium,weighted,0.0067633444,0.19505,0.609901,0.19505
RG022,medium,clipped,0.0024043316,0.287363,0.425275,0.287363
RG022,low,pure,0.0,0.316292,0.367417,0.316292
RG022,low,weighted,0.0003237562,0.303943,0.392115,0.303943
RG022,low,clipped,0.0001141738,0.323545,0.352909,0.323545
RG023,high,pure,-0.0,0.098391,0.803217,0.098391
RG023,high,weighted,0.0248182962,0.026669,0.946662,0.026669
