graph_id,evidence_level,family,target,choice_probability,belief_p_R,belief_p_G,belief_p_B
RG119,high,M_exact,0,0.299571,0.068523,0.068523,0.862953
RG119,high,M_exact,3,0.02494,0.462134,0.462134,0.075733
RG119,high,M_exact,4,0.24782,0.082566,0.067533,0.849901
RG119,high,M_exact,5,0.42767,0.025474,0.877171,0.097354
RG119,high,M_0,0,0.435578,0.098391,0.098391,0.803217
RG119,high,M_0,3,0.026545,0.333333,0.333333,0.333333
RG119,high,M_0,4,0.435578,0.098391,0.098391,0.803217
RG119,high,M_0,5,0.102299,0.057714,0.471143,0.471143
RG119,high,M_rho,0,0.451394,0.078897,0.078897,0.842206
RG119,high,M_rho,3,0.021108,0.39935,0.39935,0.201299
RG119,high,M_rho,4,0.403846,0.087407,0.078425,0.834168
RG119,high,M_rho,5,0.123652,0.038872,0.660911,0.300216
RG119,high,"M_rho,beta",0,0.42687,0.123312,0.123312,0.753376
RG119,high,"M_rho,beta",3,0.050635,0.371578,0.371578,0.256844
RG119,high,"M_rho,beta",4,0.361522,0.141993,0.120787,0.737219
RG119,high,"M_rho,beta",5,0.160973,0.07714,0.555527,0.367333
RG119,high,M_star,0,0.357884,0.098391,0.098391,0.803217
RG119,high,M_star,3,0.100498,0.158388,0.158388,0.683224
RG119,high,M_star,4,0.357884,0.098391,0.098391,0.803217
RG119,high,M_star,5,0.183733,0.090449,0.171174,0.738377
RG119,high,M_cluster,0,0.299522,0.068523,0.068523,0.862953
RG119,high,M_cluster,3,0.025097,0.462429,0.462429,0.075142
RG119,high,M_cluster,4,0.24778,0.082566,0.067533,0.849901
RG119,high,M_cluster,5,0.427601,0.025474,0.877171,0.097354
RG112,high,M_exact,0,0.32377,0.061821,0.876357,0.061821
RG112,high,M_exact,3,0.02869,0.473483,0.053033,0.473483
RG112,high,M_exact,4,0.32377,0.061821,0.876357,0.061821
RG112,high,M_exact,5,0.32377,0.061821,0.876357,0.061821
RG112,high,M_0,0,0.326697,0.098391,0.803217,0.098391
RG112,high,M_0,3,0.01991,0.333333,0.333333,0.333333
RG112,high,M_0,4,0.326697,0.098391,0.803217,0.098391
RG112,high,M_0,5,0.326697,0.098391,0.803217,0.098391
RG112,high,M_rho,0,0.323108,0.077301,0.845399,0.077301
RG112,high,M_rho,3,0.030677,0.455956,0.088087,0.455956
RG112,high,M_rho,4,0.323108,0.077301,0.845399,0.077301
RG112,high,M_rho,5,0.323108,0.077301,0.845399,0.077301
RG112,high,"M_rho,beta",0,0.316444,0.117094,0.765812,0.117094
RG112,high,"M_rho,beta",3,0.050667,0.42498,0.150039,0.42498
RG112,high,"M_rho,beta",4,0.316444,0.117094,0.765812,0.117094
RG112,high,"M_rho,beta",5,0.316444,0.117094,0.765812,0.117094
RG112,high,M_star,0,0.304803,0.098391,0.803217,0.098391
RG112,high,M_star,3,0.085592,0.158388,0.683224,0.158388
RG112,high,M_star,4,0.304803,0.098391,0.803217,0.098391
RG112,high,M_star,5,0.304803,0.098391,0.803217,0.098391
RG112,high,M_cluster,0,0.319519,0.079269,0.841462,0.079269
RG112,high,M_cluster,3,0.041443,0.467767,0.064466,0.467767
RG112,high,M_cluster,4,0.319519,0.079269,0.841462,0.079269
RG112,high,M_cluster,5,0.319519,0.079269,0.841462,0.079269
RG121,high,M_exact,0,0.266096,0.15486,0.146063,0.699077
RG121,high,M_exact,2,0.162703,0.123105,0.621477,0.255419
RG121,high,M_exact,4,0.2856,0.146628,0.146628,0.706745
RG121,high,M_exact,5,0.2856,0.146628,0.146628,0.706745
RG121,high,M_0,0,0.309133,0.098391,0.098391,0.803217
RG121,high,M_0,2,0.072602,0.057714,0.471143,0.471143
RG121,high,M_0,4,0.309133,0.098391,0.098391,0.803217
RG121,high,M_0,5,0.309133,0.098391,0.098391,0.803217
RG121,high,M_rho,0,0.273546,0.125048,0.118062,0.75689
RG121,high,M_rho,2,0.136335,0.063931,0.615668,0.320401
RG121,high,M_rho,4,0.295059,0.118113,0.118113,0.763773
RG121,high,M_rho,5,0.295059,0.118113,0.118113,0.763773
RG121,high,"M_rho,beta",0,0.263543,0.156581,0.138046,0.705373
RG121,high,"M_rho,beta",2,0.136659,0.09039,0.536071,0.373539
RG121,high,"M_rho,beta",4,0.299899,0.140399,0.140399,0.719201
RG121,high,"M_rho,beta",5,0.299899,0.140399,0.140399,0.719201
RG121,high,M_star,0,0.284626,0.098391,0.098391,0.803217
RG121,high,M_star,2,0.146123,0.090449,0.171174,0.738377
RG121,high,M_star,4,0.284626,0.098391,0.098391,0.803217
RG121,high,M_star,5,0.284626,0.098391,0.098391,0.803217
RG121,high,M_cluster,0,0.284103,0.08366,0.068721,0.847619
RG121,high,M_cluster,2,0.030786,0.123105,0.621477,0.255419
RG121,high,M_cluster,4,0.342556,0.069705,0.069705,0.86059
RG121,high,M_cluster,5,0.342556,0.069705,0.069705,0.86059
RG114,high,M_exact,0,0.446739,0.058898,0.876993,0.064108
RG114,high,M_exact,3,0.051471,0.620773,0.053603,0.325623
RG114,high,M_exact,4,0.446739,0.058898,0.876993,0.064108
RG114,high,M_exact,5,0.055051,0.043372,0.606218,0.35041
RG114,high,M_0,0,0.435578,0.098391,0.803217,0.098391
RG114,high,M_0,3,0.026545,0.333333,0.333333,0.333333
RG114,high,M_0,4,0.435578,0.098391,0.803217,0.098391
RG114,high,M_0,5,0.102299,0.057714,0.471143,0.471143
RG114,high,M_rho,0,0.447725,0.073987,0.849577,0.076436
RG114,high,M_rho,3,0.036819,0.534003,0.108778,0.35722
RG114,high,M_rho,4,0.447725,0.073987,0.849577,0.076436
RG114,high,M_rho,5,0.067732,0.044346,0.504301,0.451354
RG114,high,"M_rho,beta",0,0.406221,0.115112,0.765096,0.119791
RG114,high,"M_rho,beta",3,0.059035,0.466464,0.176232,0.357304
RG114,high,"M_rho,beta",4,0.406221,0.115112,0.765096,0.119791
RG114,high,"M_rho,beta",5,0.128523,0.070856,0.473556,0.455588
RG114,high,M_star,0,0.357884,0.098391,0.803217,0.098391
RG114,high,M_star,3,0.100498,0.158388,0.683224,0.158388
RG114,high,M_star,4,0.357884,0.098391,0.803217,0.098391
RG114,high,M_star,5,0.183733,0.090449,0.738377,0.171174
RG114,high,M_cluster,0,0.232691,0.083108,0.829117,0.087776
RG114,high,M_cluster,3,0.226946,0.826993,0.078687,0.094321
RG114,high,M_cluster,4,0.232691,0.083108,0.829117,0.087776
RG114,high,M_cluster,5,0.307672,0.066558,0.848536,0.084907
RG036,high,M_exact,0,0.21448,0.080782,0.838435,0.080782
RG036,high,M_exact,3,0.381472,0.025376,0.108297,0.866327
RG036,high,M_exact,4,0.381472,0.866327,0.108297,0.025376
RG036,high,M_exact,5,0.022575,0.456171,0.087658,0.456171
RG036,high,M_0,0,0.653314,0.098391,0.803217,0.098391
RG036,high,M_0,3,0.153436,0.057714,0.471143,0.471143
RG036,high,M_0,4,0.153436,0.471143,0.471143,0.057714
RG036,high,M_0,5,0.039815,0.333333,0.333333,0.333333
