graph_id,evidence_level,left_family,right_family,belief_only_js,selection_only_js,combined_js,weighted_belief_js
RG119,high,M_exact,M_0,0.003222,0.073079,0.103183,0.030104
RG119,high,M_exact,M_rho,0.000428,0.061583,0.072003,0.01042
RG119,high,M_exact,"M_rho,beta",0.009792,0.044507,0.071881,0.027374
RG119,high,M_exact,M_star,0.003222,0.043536,0.144154,0.100618
RG119,high,M_exact,M_cluster,0.0,0.0,0.0,0.0
RG119,high,M_0,M_rho,0.001305,0.001031,0.00433,0.003298
RG119,high,M_0,"M_rho,beta",0.001803,0.006953,0.009914,0.002961
RG119,high,M_0,M_star,-0.0,0.021158,0.03273,0.011571
RG119,high,M_0,M_cluster,0.003222,0.073072,0.103185,0.030114
RG119,high,M_rho,"M_rho,beta",0.006155,0.005114,0.011614,0.0065
RG119,high,M_rho,M_star,0.001305,0.02044,0.048756,0.028316
RG119,high,M_rho,M_cluster,0.000428,0.061585,0.07201,0.010424
RG119,high,"M_rho,beta",M_star,0.001803,0.006089,0.029834,0.023745
RG119,high,"M_rho,beta",M_cluster,0.009792,0.04447,0.071854,0.027384
RG119,high,M_star,M_cluster,0.003222,0.043458,0.144121,0.100663
RG112,high,M_exact,M_0,0.005007,0.000409,0.006968,0.006559
RG112,high,M_exact,M_rho,0.001002,1.7e-05,0.00106,0.001043
RG112,high,M_exact,"M_rho,beta",0.010541,0.001605,0.012258,0.010653
RG112,high,M_exact,M_star,0.005007,0.007839,0.026392,0.018553
RG112,high,M_exact,M_cluster,0.001259,0.000604,0.001829,0.001225
RG112,high,M_0,M_rho,0.001539,0.000592,0.003296,0.002704
RG112,high,M_0,"M_rho,beta",0.001036,0.003589,0.005412,0.001824
RG112,high,M_0,M_star,0.0,0.011583,0.014883,0.003299
RG112,high,M_0,M_cluster,0.001253,0.00199,0.005079,0.003089
RG112,high,M_rho,"M_rho,beta",0.005085,0.001293,0.006359,0.005066
RG112,high,M_rho,M_star,0.001539,0.00715,0.020547,0.013397
RG112,high,M_rho,M_cluster,1.5e-05,0.000418,0.000468,5e-05
RG112,high,"M_rho,beta",M_star,0.001036,0.002427,0.013992,0.011565
RG112,high,"M_rho,beta",M_cluster,0.004556,0.000242,0.00504,0.004798
RG112,high,M_star,M_cluster,0.001253,0.004177,0.019911,0.015733
RG121,high,M_exact,M_0,0.00732,0.010121,0.01922,0.009099
RG121,high,M_exact,M_rho,0.002113,0.000685,0.003457,0.002772
RG121,high,M_exact,"M_rho,beta",6.6e-05,0.000745,0.002077,0.001332
RG121,high,M_exact,M_star,0.00732,0.000379,0.026139,0.025759
RG121,high,M_exact,M_cluster,0.016089,0.027399,0.042981,0.015583
RG121,high,M_0,M_rho,0.001588,0.005646,0.008068,0.002422
RG121,high,M_0,"M_rho,beta",0.006608,0.00596,0.011416,0.005456
RG121,high,M_0,M_star,-0.0,0.007059,0.012869,0.00581
RG121,high,M_0,M_cluster,0.001921,0.005473,0.00939,0.003916
RG121,high,M_rho,"M_rho,beta",0.001729,6.6e-05,0.001785,0.001718
RG121,high,M_rho,M_star,0.001588,0.000234,0.016902,0.016668
RG121,high,M_rho,M_cluster,0.006646,0.019822,0.02717,0.007348
RG121,high,"M_rho,beta",M_star,0.006608,0.000482,0.016439,0.015958
RG121,high,"M_rho,beta",M_cluster,0.014808,0.01969,0.034277,0.014587
